feature,importance
Product_Category_1,0.9520365784040528
Product_Category_2,0.016821761077812587
Product_Category_3,0.01088898660386105
Occupation,0.005329392539452235
City_Category_C,0.00422557319368909
Marital_Status,0.0010674159683544079
Age_26-35,0.0009740376015792632
Age_18-25,0.0009310176229526582
Stay_In_Current_City_Years_1,0.0008422290768233527
Stay_In_Current_City_Years_3,0.000657122008994747
Age_51-55,0.000656770293831195
Gender_F,0.0006270679260423949
Age_36-45,0.0006207969672505289
Stay_In_Current_City_Years_2,0.0006042538381612695
Gender_M,0.0005868573662787068
City_Category_A,0.0005363757573347923
Stay_In_Current_City_Years_0,0.0005236834380644749
Stay_In_Current_City_Years_4+,0.0005044118303309175
City_Category_B,0.00048639208192197386
Age_46-50,0.00039968496416168574
Age_0-17,0.0003517501235313062
Age_55+,0.0003278413155186246
